2025-10-24 16:52:11,310 | INFO | ulauncher: main() | Ulauncher version 5.15.14
2025-10-24 16:52:11,310 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-10-24 16:52:11,310 | INFO | ulauncher: main() | GTK+ 3.24.41
2025-10-24 16:52:11,310 | INFO | ulauncher: main() | Is Wayland: False
2025-10-24 16:52:11,310 | INFO | ulauncher: main() | Wayland compatibility: off
2025-10-24 16:52:11,355 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-10-24 16:52:11,359 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-10-24 16:52:11,359 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-10-24 16:52:11,359 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-10-24 16:52:11,361 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-10-24 16:52:11,361 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-10-24 16:52:11,362 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-10-24 16:52:11,362 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-10-24 16:52:11,362 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-10-24 16:52:11,362 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-10-24 16:52:11,364 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-10-24 16:52:11,364 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-10-24 16:52:11,374 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-10-24 16:52:11,377 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-10-24 16:52:11,379 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-10-24 16:52:11,434 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 71 apps in cache
2025-10-24 16:52:11,436 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/ubuntu/applications/texdoctk.desktop": constructor returned NULL
2025-10-24 16:52:11,437 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/local/share/applications/rofi-theme-selector.desktop": constructor returned NULL
2025-10-24 16:52:11,437 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/local/share/applications/rofi.desktop": constructor returned NULL
2025-10-24 16:52:11,438 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/local/share/applications/swappy.desktop": constructor returned NULL
2025-10-24 16:52:11,445 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/vim.desktop": constructor returned NULL
2025-10-24 16:52:11,464 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/nwg-displays.desktop": constructor returned NULL
2025-10-24 16:52:11,477 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/var/lib/snapd/desktop/applications/snapd-desktop-integration_snapd-desktop-integration.desktop": constructor returned NULL
2025-10-24 16:52:11,478 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/var/lib/snapd/desktop/applications/firmware-updater_firmware-updater-app.desktop": constructor returned NULL
2025-10-24 16:52:11,485 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 70 apps in the system
2025-10-24 16:52:11,485 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.11 seconds
2025-10-24 16:52:11,491 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2025-10-24 16:52:11,498 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
